index,A,B,C,D,E,F
0,0.26820888323061354,0.2486893105154877,0.25649157516238574,0.2684917194814034,0.11625532728123744,0.21871642999815322
1,0.2210972187169773,0.27875039698596993,0.32638138681318196,0.34149885127953894,0.37990878577090825,0.3772329995358632
2,0.23403043863231687,0.2764491018933768,0.34745185309384397,0.35548103664996233,0.3915661021106871,0.4205403151097471
3,0.24809961624168864,0.3024773705709549,0.3631761677278291,0.3651212701830673,0.38318213818570257,0.380069306692576
4,0.2492954694148466,0.31664845261855135,0.36957487121276245,0.3757409748181999,0.3668772503302762,0.40031903699741633
5,0.23520313334336151,0.2814974287905443,0.3500057487689219,0.3603452908254212,0.348963820457584,0.3554556695660267
6,0.24988990979818482,0.32866879090261136,0.3783338808671033,0.3867221496475395,0.4082364776909344,0.40825503080338876
7,0.30727168881549005,0.3726812453057846,0.45920947564206926,0.4289780869438573,0.45227417798560055,0.4691875953391218
8,0.25592650209193835,0.34222470973304553,0.4335515135046535,0.43367842221812225,0.49309088322365824,0.4985631584713701
9,0.24670379770884665,0.3131269374262047,0.38076987667557205,0.3957282645411624,0.4043397813429692,0.3898828563715142
10,0.24314722415851975,0.29597821987863426,0.32688087690803513,0.3342041692596922,0.35738690356049574,0.34617110362626136
